fecha,periodo,comprobante,tipo_comprobante,es_nota_credito,codigo_cliente,razon_social,condicion_comercial,localidad,codigo_producto_original,codigo_producto,codigo_normalizado,motivo_normalizacion,producto,unidad_medida,rubro,producto_activo,cantidad,precio_unitario,bonificacion_pct,importe_neto,costo_unitario,costo_total,margen_bruto,margen_bruto_pct,vendedor
2025-01-05,2025-01,FAC 0003-00040174,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,2.00,5600.00,0.00,11200.00,2560.00,5120.00,6080.00,0.54,
2025-03-14,2025-03,FAC 0003-00040914,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,1.00,9922.60,0.00,9922.60,4282.00,4282.00,5640.60,0.57,
2025-04-10,2025-04,FAC 0003-00041573,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,2.00,10140.90,0.00,20281.79,4377.00,8754.00,11527.79,0.57,
2025-01-08,2025-01,FAC 0003-00040172,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,2.00,5600.00,0.00,11200.00,2560.00,5120.00,6080.00,0.54,
2025-04-22,2025-04,FAC 0003-00041384,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BRAS-250,CAF-BRAS-250,false,,Brasil Cerrado 250 g,UN,CAFE,S,1.00,5657.55,0.00,5657.55,2594.00,2594.00,3063.55,0.54,
2025-02-06,2025-02,FAC 0003-00040462,FAC,false,C0131,Tostado Coghlan II,Mayorista,CABA,CAF-BLEND-1K,CAF-BLEND-1K,false,,Blend Casa 1 kg,UN,CAFE,S,9.00,18396.00,35.00,107616.60,10016.00,90144.00,17472.60,0.16,M. Paz
2025-06-24,2025-06,FAC 0003-00042139,FAC,false,C0138,El Almacen de Constitucion,Mayorista,CABA,CAF-BLEND-1K,CAF-BLEND-1K,false,,Blend Casa 1 kg,UN,CAFE,S,5.00,20069.06,30.00,70241.70,10926.00,54630.00,15611.70,0.22,R. Ibarra
2025-01-26,2025-01,FAC 0003-00040166,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-CAPS-10,CAF-CAPS-10,false,,Capsulas compatibles x10,UN,CAFE,S,2.00,6900.00,0.00,13800.00,3300.00,6600.00,7200.00,0.52,
2025-03-22,2025-03,FAC 0003-00040970,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,3.00,8564.77,0.00,25694.31,3760.00,11280.00,14414.31,0.56,
2025-01-21,2025-01,FAC 0003-00040085,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-CAPS-10,CAF-CAPS-10,false,,Capsulas compatibles x10,UN,CAFE,S,1.00,6900.00,0.00,6900.00,3300.00,3300.00,3600.00,0.52,
