codigo_cliente,razon_social,condicion_comercial,localidad,unidades,ventas_netas,costo_total,margen_bruto,margen_bruto_pct,precio_venta_promedio,costo_unitario_promedio,participacion_ventas_pct,notas_credito,importe_notas_credito,alerta_margen,accion_sugerida
C0001,GRANOS DEL SUR S.A.,Distribuidor,Avellaneda,2826.00,42646182.95,39420328.00,3225854.95,0.0756,15090.65,13949.16,0.3539,13,-1252938.40,HIGH,"Agendar renegociacion: revisar descuento, volumen minimo, lista de precios y flete absorbido."
C0112,La Ventanita de Recoleta,Mayorista,CABA,98.00,1002580.10,843886.00,158694.10,0.1583,10230.41,8611.08,0.0083,0,0.00,MEDIUM,Preparar propuesta con menor descuento o mix de productos de mayor margen.
C0134,Bar Agronomia,Mayorista,CABA,56.00,631697.77,531332.00,100365.77,0.1589,11280.32,9488.07,0.0052,0,0.00,MEDIUM,"En la proxima reposicion, ofrecer alternativas de mayor margen antes de repetir descuento."
C0121,Panaderia Chacarita II,Mayorista,CABA,74.00,797248.81,670221.00,127027.81,0.1593,10773.63,9057.04,0.0066,1,-12054.96,MEDIUM,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
C0107,La Ventanita de Nunez II,Mayorista,CABA,72.00,783672.34,658830.00,124842.34,0.1593,10884.34,9150.42,0.0065,1,-24640.34,MEDIUM,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
C0110,Panaderia Devoto,Mayorista,CABA,92.00,1054060.74,885704.00,168356.74,0.1597,11457.18,9627.22,0.0087,0,0.00,MEDIUM,Preparar propuesta con menor descuento o mix de productos de mayor margen.
C0132,Cafe Barracas,Mayorista,CABA,64.00,726752.31,610624.00,116128.31,0.1598,11355.50,9541.00,0.0060,1,-44200.00,MEDIUM,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
C0136,Tostado Villa Urquiza,Mayorista,CABA,77.00,874627.51,734632.00,139995.51,0.1601,11358.80,9540.68,0.0073,1,-57707.74,MEDIUM,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
C0103,Coffee Lab Belgrano II,Mayorista,CABA,106.00,1017630.94,851523.00,166107.94,0.1632,9600.29,8033.24,0.0084,1,-34624.64,MEDIUM,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
C0131,Tostado Coghlan II,Mayorista,CABA,92.00,1065186.83,888354.00,176832.83,0.1660,11578.12,9656.02,0.0088,0,0.00,MEDIUM,Preparar propuesta con menor descuento o mix de productos de mayor margen.
C0124,Coffee Lab Flores,Mayorista,CABA,95.00,961426.21,801447.00,159979.21,0.1664,10120.28,8436.28,0.0080,0,0.00,MEDIUM,"En la proxima reposicion, ofrecer alternativas de mayor margen antes de repetir descuento."
C0123,La Ventanita de Almagro II,Mayorista,CABA,97.00,953538.62,792301.00,161237.62,0.1691,9830.30,8168.05,0.0079,2,-67272.40,MEDIUM,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
C0101,El Almacen de Palermo II,Mayorista,CABA,102.00,1093361.08,908248.00,185113.08,0.1693,10719.23,8904.39,0.0091,2,-101637.90,MEDIUM,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
C0102,Bar Belgrano,Mayorista,CABA,43.00,439851.71,364121.00,75730.71,0.1722,10229.11,8467.93,0.0037,1,-56465.50,MEDIUM,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
C0133,El Almacen de Barracas II,Mayorista,CABA,102.00,1064368.03,870337.00,194031.03,0.1823,10434.98,8532.72,0.0088,0,0.00,MEDIUM,Preparar propuesta con menor descuento o mix de productos de mayor margen.
C0111,Cafe Devoto II,Mayorista,CABA,87.00,925579.24,755796.00,169783.24,0.1834,10638.84,8687.31,0.0077,0,0.00,MEDIUM,"En la proxima reposicion, ofrecer alternativas de mayor margen antes de repetir descuento."
C0104,Tostado Villa Crespo,Mayorista,CABA,112.00,1194513.40,974159.00,220354.40,0.1845,10665.30,8697.85,0.0099,2,-45674.64,MEDIUM,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
C0119,Coffee Lab Saavedra II,Mayorista,CABA,74.00,707183.95,572262.00,134921.95,0.1908,9556.54,7733.27,0.0059,1,-22100.00,MEDIUM,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
