codigo_producto,periodo,costo_unitario,moneda
CAF-BLEND-1K,2025-01,9800.00,ARS
CAF-BLEND-1K,2025-02,10016.00,ARS
CAF-BLEND-1K,2025-03,10236.00,ARS
CAF-BLEND-1K,2025-04,10461.00,ARS
CAF-BLEND-1K,2025-05,10691.00,ARS
CAF-BLEND-1K,2025-06,10926.00,ARS
CAF-BLEND-250,2025-01,2560.00,ARS
CAF-BLEND-250,2025-02,2616.00,ARS
CAF-BLEND-250,2025-03,2674.00,ARS
CAF-BLEND-250,2025-04,2733.00,ARS
CAF-BLEND-250,2025-05,2793.00,ARS
CAF-BLEND-250,2025-06,2854.00,ARS
CAF-BLEND-CJ6,2025-01,58800.00,ARS
CAF-BLEND-CJ6,2025-02,60094.00,ARS
CAF-BLEND-CJ6,2025-03,61416.00,ARS
CAF-BLEND-CJ6,2025-04,62767.00,ARS
CAF-BLEND-CJ6,2025-05,64148.00,ARS
CAF-BLEND-CJ6,2025-06,65559.00,ARS
CAF-BRAS-1K,2025-01,9300.00,ARS
CAF-BRAS-1K,2025-02,9505.00,ARS
CAF-BRAS-1K,2025-03,9714.00,ARS
CAF-BRAS-1K,2025-04,9927.00,ARS
CAF-BRAS-1K,2025-05,10146.00,ARS
CAF-BRAS-1K,2025-06,10369.00,ARS
CAF-BRAS-250,2025-01,2430.00,ARS
CAF-BRAS-250,2025-02,2483.00,ARS
CAF-BRAS-250,2025-03,2538.00,ARS
CAF-BRAS-250,2025-04,2594.00,ARS
CAF-BRAS-250,2025-05,2651.00,ARS
CAF-BRAS-250,2025-06,2709.00,ARS
CAF-ETIOP-250,2025-01,4100.00,ARS
CAF-ETIOP-250,2025-02,4190.00,ARS
CAF-ETIOP-250,2025-03,4282.00,ARS
CAF-ETIOP-250,2025-04,4377.00,ARS
CAF-ETIOP-250,2025-05,4473.00,ARS
CAF-ETIOP-250,2025-06,4571.00,ARS
CAF-COLOM-250,2025-01,3600.00,ARS
CAF-COLOM-250,2025-02,3679.00,ARS
CAF-COLOM-250,2025-03,3760.00,ARS
CAF-COLOM-250,2025-04,3843.00,ARS
CAF-COLOM-250,2025-05,3927.00,ARS
CAF-COLOM-250,2025-06,4014.00,ARS
CAF-DESCA-250,2025-01,3500.00,ARS
CAF-DESCA-250,2025-02,3577.00,ARS
CAF-DESCA-250,2025-03,3656.00,ARS
CAF-DESCA-250,2025-04,3736.00,ARS
CAF-DESCA-250,2025-05,3818.00,ARS
CAF-DESCA-250,2025-06,3902.00,ARS
CAF-CAPS-10,2025-01,3300.00,ARS
CAF-CAPS-10,2025-02,3373.00,ARS
CAF-CAPS-10,2025-03,3447.00,ARS
CAF-CAPS-10,2025-04,3523.00,ARS
CAF-CAPS-10,2025-05,3600.00,ARS
CAF-CAPS-10,2025-06,3679.00,ARS
CAP-FILTRO-100,2025-01,1900.00,ARS
CAP-FILTRO-100,2025-02,1942.00,ARS
CAP-FILTRO-100,2025-03,1985.00,ARS
CAP-FILTRO-100,2025-04,2028.00,ARS
CAP-FILTRO-100,2025-05,2073.00,ARS
CAP-FILTRO-100,2025-06,2118.00,ARS
CAP-TAZA,2025-01,4200.00,ARS
CAP-TAZA,2025-02,4292.00,ARS
CAP-TAZA,2025-03,4387.00,ARS
CAP-TAZA,2025-04,4483.00,ARS
CAP-TAZA,2025-05,4582.00,ARS
CAP-TAZA,2025-06,4683.00,ARS
