periodo,concepto,importe,notas
2025-01,Flete distribucion,1748950.00,reparto a cafeterias y distribuidor; no se cobra al cliente
2025-01,Packaging mayorista,749550.00,bolsa valvulada 1kg + caja
2025-01,Comision plataforma ecommerce,347165.00,7% sobre venta online
2025-01,Alquiler y expensas local,700000.00,
2025-01,Sueldos produccion,1300000.00,2 personas
2025-01,Sueldos administracion,630000.00,
2025-01,Energia y gas tostadero,315000.00,
2025-02,Flete distribucion,1656866.00,reparto a cafeterias y distribuidor; no se cobra al cliente
2025-02,Packaging mayorista,710086.00,bolsa valvulada 1kg + caja
2025-02,Comision plataforma ecommerce,347012.00,7% sobre venta online
2025-02,Alquiler y expensas local,715400.00,
2025-02,Sueldos produccion,1328600.00,2 personas
2025-02,Sueldos administracion,643860.00,
2025-02,Energia y gas tostadero,321930.00,
2025-03,Flete distribucion,1427914.00,reparto a cafeterias y distribuidor; no se cobra al cliente
2025-03,Packaging mayorista,611963.00,bolsa valvulada 1kg + caja
2025-03,Comision plataforma ecommerce,356832.00,7% sobre venta online
2025-03,Alquiler y expensas local,731139.00,
2025-03,Sueldos produccion,1357829.00,2 personas
2025-03,Sueldos administracion,658025.00,
2025-03,Energia y gas tostadero,329012.00,
2025-04,Flete distribucion,1252347.00,reparto a cafeterias y distribuidor; no se cobra al cliente
2025-04,Packaging mayorista,536720.00,bolsa valvulada 1kg + caja
2025-04,Comision plataforma ecommerce,392128.00,7% sobre venta online
2025-04,Alquiler y expensas local,747224.00,
2025-04,Sueldos produccion,1387701.00,2 personas
2025-04,Sueldos administracion,672501.00,
2025-04,Energia y gas tostadero,336251.00,
2025-05,Flete distribucion,1578109.00,reparto a cafeterias y distribuidor; no se cobra al cliente
2025-05,Packaging mayorista,676332.00,bolsa valvulada 1kg + caja
2025-05,Comision plataforma ecommerce,427323.00,7% sobre venta online
2025-05,Alquiler y expensas local,763663.00,
2025-05,Sueldos produccion,1418231.00,2 personas
2025-05,Sueldos administracion,687297.00,
2025-05,Energia y gas tostadero,343648.00,
2025-06,Flete distribucion,1823943.00,reparto a cafeterias y distribuidor; no se cobra al cliente
2025-06,Packaging mayorista,781690.00,bolsa valvulada 1kg + caja
2025-06,Comision plataforma ecommerce,415729.00,7% sobre venta online
2025-06,Alquiler y expensas local,780463.00,
2025-06,Sueldos produccion,1449432.00,2 personas
2025-06,Sueldos administracion,702417.00,
2025-06,Energia y gas tostadero,351209.00,
