fecha,periodo,comprobante,tipo_comprobante,codigo_cliente,razon_social,codigo_producto,cantidad,precio_unitario,bonificacion_pct,importe,vendedor,importe_recalculado,diferencia_importe,importe_reconciliado
2025-01-05,2025-01,FAC 0003-00040174,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,2.00,5600.00,0.00,11200.00,,11200.00,0.00,true
2025-03-14,2025-03,FAC 0003-00040914,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,1.00,9922.60,0.00,9922.60,,9922.60,0.00,true
2025-04-10,2025-04,FAC 0003-00041573,FAC,C9001,CONSUMIDOR FINAL,CAF-ETIOP-250,2.00,10140.90,0.00,20281.79,,20281.80,-0.01,true
2025-01-08,2025-01,FAC 0003-00040172,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,2.00,5600.00,0.00,11200.00,,11200.00,0.00,true
2025-04-22,2025-04,FAC 0003-00041384,FAC,C9002,VENTA ONLINE,CAF-BRAS-250,1.00,5657.55,0.00,5657.55,,5657.55,0.00,true
2025-02-06,2025-02,FAC 0003-00040462,FAC,C0131,Tostado Coghlan II,CAF-BLEND-1K,9.00,18396.00,35.00,107616.60,M. Paz,107616.60,0.00,true
2025-06-24,2025-06,FAC 0003-00042139,FAC,C0138,El Almacen de Constitucion,CAF-BLEND-1K,5.00,20069.06,30.00,70241.70,R. Ibarra,70241.71,-0.01,true
2025-01-26,2025-01,FAC 0003-00040166,FAC,C9002,VENTA ONLINE,CAF-CAPS-10,2.00,6900.00,0.00,13800.00,,13800.00,0.00,true
2025-03-22,2025-03,FAC 0003-00040970,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,3.00,8564.77,0.00,25694.31,,25694.31,0.00,true
2025-01-21,2025-01,FAC 0003-00040085,FAC,C9002,VENTA ONLINE,CAF-CAPS-10,1.00,6900.00,0.00,6900.00,,6900.00,0.00,true
2025-05-01,2025-05,FAC 0003-00041669,FAC,C0113,Bar Recoleta II,CAF-BRAS-1K,4.00,18546.10,30.00,51929.07,M. Paz,51929.08,-0.01,true
2025-05-20,2025-05,FAC 0003-00041904,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,2.00,10363.99,0.00,20727.99,,20727.98,0.01,true
2025-01-11,2025-01,FAC 0003-00040046,FAC,C0133,El Almacen de Barracas II,CAF-BRAS-1K,2.00,17000.00,35.00,22100.00,,22100.00,0.00,true
2025-04-06,2025-04,FAC 0003-00041371,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,2.00,8753.19,0.00,17506.39,,17506.38,0.01,true
2025-05-04,2025-05,FAC 0003-00041678,FAC,C0122,El Almacen de Almagro,CAF-BRAS-1K,4.00,18546.10,32.00,50445.38,R. Ibarra,50445.39,-0.01,true
2025-06-25,2025-06,FAC 0003-00042303,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,1.00,9142.57,0.00,9142.57,,9142.57,0.00,true
2025-06-04,2025-06,FAC 0003-00042311,FAC,C9002,VENTA ONLINE,CAF-BRAS-250,3.00,5909.22,0.00,17727.67,,17727.66,0.01,true
2025-04-14,2025-04,FAC 0003-00041416,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,1.00,10140.90,0.00,10140.90,,10140.90,0.00,true
2025-05-04,2025-05,FAC 0003-00041938,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,1.00,6109.30,0.00,6109.30,,6109.30,0.00,true
2025-02-07,2025-02,FAC 0003-00040453,FAC,C0125,Usina Flores II,CAF-BRAS-1K,7.00,17374.00,32.00,82700.24,M. Paz,82700.24,0.00,true
2025-05-12,2025-05,FAC 0003-00041977,FAC,C9001,CONSUMIDOR FINAL,CAF-COLOM-250,1.00,8945.76,0.00,8945.76,,8945.76,0.00,true
2025-02-03,2025-02,FAC 0003-00040430,FAC,C0106,El Almacen de Nunez,CAF-BRAS-1K,4.00,17374.00,30.00,48647.20,,48647.20,0.00,true
2025-06-22,2025-06,FAC 0003-00042098,FAC,C0107,La Ventanita de Nunez II,CAF-BRAS-1K,6.00,18954.11,35.00,73921.03,R. Ibarra,73921.03,0.00,true
2025-05-07,2025-05,FAC 0003-00041685,FAC,C0129,Bar San Telmo II,CAF-BRAS-1K,2.00,18546.10,32.00,25222.69,M. Paz,25222.70,-0.01,true
2025-05-17,2025-05,FAC 0003-00041944,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,2.00,6109.30,0.00,12218.60,,12218.60,0.00,true
2025-06-23,2025-06,FAC 0003-00042316,FAC,C9002,VENTA ONLINE,CAF-CAPS-10,3.00,7693.14,0.00,23079.42,,23079.42,0.00,true
2025-04-05,2025-04,FAC 0003-00041247,FAC,C0101,El Almacen de Palermo II,CAF-BRAS-1K,7.00,18146.87,35.00,82568.24,,82568.26,-0.02,true
2025-05-01,2025-05,FAC 0003-00041738,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,2.00,6109.30,0.00,12218.60,,12218.60,0.00,true
2025-05-10,2025-05,FAC 0003-00042027,FAC,C9001,CONSUMIDOR FINAL,CAF-ETIOP-250,2.00,10363.99,0.00,20727.99,,20727.98,0.01,true
