codigo_producto;periodo;costo_unitario;moneda
CAF-BLEND-1K;01/2025;9800;ARS
CAF-BLEND-1K;02/2025;10016;ARS
CAF-BLEND-1K;03/2025;10236;ARS
CAF-BLEND-1K;04/2025;10461;ARS
CAF-BLEND-1K;05/2025;10691;ARS
CAF-BLEND-1K;06/2025;10926;ARS
CAF-BLEND-250;01/2025;2560;ARS
CAF-BLEND-250;02/2025;2616;ARS
CAF-BLEND-250;03/2025;2674;ARS
CAF-BLEND-250;04/2025;2733;ARS
CAF-BLEND-250;05/2025;2793;ARS
CAF-BLEND-250;06/2025;2854;ARS
CAF-BLEND-CJ6;01/2025;58800;ARS
CAF-BLEND-CJ6;02/2025;60094;ARS
CAF-BLEND-CJ6;03/2025;61416;ARS
CAF-BLEND-CJ6;04/2025;62767;ARS
CAF-BLEND-CJ6;05/2025;64148;ARS
CAF-BLEND-CJ6;06/2025;65559;ARS
CAF-BRAS-1K;01/2025;9300;ARS
CAF-BRAS-1K;02/2025;9505;ARS
CAF-BRAS-1K;03/2025;9714;ARS
CAF-BRAS-1K;04/2025;9927;ARS
CAF-BRAS-1K;05/2025;10146;ARS
CAF-BRAS-1K;06/2025;10369;ARS
CAF-BRAS-250;01/2025;2430;ARS
CAF-BRAS-250;02/2025;2483;ARS
CAF-BRAS-250;03/2025;2538;ARS
CAF-BRAS-250;04/2025;2594;ARS
CAF-BRAS-250;05/2025;2651;ARS
CAF-BRAS-250;06/2025;2709;ARS
CAF-ETIOP-250;01/2025;4100;ARS
CAF-ETIOP-250;02/2025;4190;ARS
CAF-ETIOP-250;03/2025;4282;ARS
CAF-ETIOP-250;04/2025;4377;ARS
CAF-ETIOP-250;05/2025;4473;ARS
CAF-ETIOP-250;06/2025;4571;ARS
CAF-COLOM-250;01/2025;3600;ARS
CAF-COLOM-250;02/2025;3679;ARS
CAF-COLOM-250;03/2025;3760;ARS
CAF-COLOM-250;04/2025;3843;ARS
CAF-COLOM-250;05/2025;3927;ARS
CAF-COLOM-250;06/2025;4014;ARS
CAF-DESCA-250;01/2025;3500;ARS
CAF-DESCA-250;02/2025;3577;ARS
CAF-DESCA-250;03/2025;3656;ARS
CAF-DESCA-250;04/2025;3736;ARS
CAF-DESCA-250;05/2025;3818;ARS
CAF-DESCA-250;06/2025;3902;ARS
CAF-CAPS-10;01/2025;3300;ARS
CAF-CAPS-10;02/2025;3373;ARS
CAF-CAPS-10;03/2025;3447;ARS
CAF-CAPS-10;04/2025;3523;ARS
CAF-CAPS-10;05/2025;3600;ARS
CAF-CAPS-10;06/2025;3679;ARS
CAP-FILTRO-100;01/2025;1900;ARS
CAP-FILTRO-100;02/2025;1942;ARS
CAP-FILTRO-100;03/2025;1985;ARS
CAP-FILTRO-100;04/2025;2028;ARS
CAP-FILTRO-100;05/2025;2073;ARS
CAP-FILTRO-100;06/2025;2118;ARS
CAP-TAZA;01/2025;4200;ARS
CAP-TAZA;02/2025;4292;ARS
CAP-TAZA;03/2025;4387;ARS
CAP-TAZA;04/2025;4483;ARS
CAP-TAZA;05/2025;4582;ARS
CAP-TAZA;06/2025;4683;ARS
