periodo;concepto;importe;notas
01/2025;Flete distribucion;1748950;"reparto a cafeterias y distribuidor; no se cobra al cliente"
01/2025;Packaging mayorista;749550;bolsa valvulada 1kg + caja
01/2025;Comision plataforma ecommerce;347165;7% sobre venta online
01/2025;Alquiler y expensas local;700000;
01/2025;Sueldos produccion;1300000;2 personas
01/2025;Sueldos administracion;630000;
01/2025;Energia y gas tostadero;315000;
02/2025;Flete distribucion;1656866;"reparto a cafeterias y distribuidor; no se cobra al cliente"
02/2025;Packaging mayorista;710086;bolsa valvulada 1kg + caja
02/2025;Comision plataforma ecommerce;347012;7% sobre venta online
02/2025;Alquiler y expensas local;715400;
02/2025;Sueldos produccion;1328600;2 personas
02/2025;Sueldos administracion;643860;
02/2025;Energia y gas tostadero;321930;
03/2025;Flete distribucion;1427914;"reparto a cafeterias y distribuidor; no se cobra al cliente"
03/2025;Packaging mayorista;611963;bolsa valvulada 1kg + caja
03/2025;Comision plataforma ecommerce;356832;7% sobre venta online
03/2025;Alquiler y expensas local;731139;
03/2025;Sueldos produccion;1357829;2 personas
03/2025;Sueldos administracion;658025;
03/2025;Energia y gas tostadero;329012;
04/2025;Flete distribucion;1252347;"reparto a cafeterias y distribuidor; no se cobra al cliente"
04/2025;Packaging mayorista;536720;bolsa valvulada 1kg + caja
04/2025;Comision plataforma ecommerce;392128;7% sobre venta online
04/2025;Alquiler y expensas local;747224;
04/2025;Sueldos produccion;1387701;2 personas
04/2025;Sueldos administracion;672501;
04/2025;Energia y gas tostadero;336251;
05/2025;Flete distribucion;1578109;"reparto a cafeterias y distribuidor; no se cobra al cliente"
05/2025;Packaging mayorista;676332;bolsa valvulada 1kg + caja
05/2025;Comision plataforma ecommerce;427323;7% sobre venta online
05/2025;Alquiler y expensas local;763663;
05/2025;Sueldos produccion;1418231;2 personas
05/2025;Sueldos administracion;687297;
05/2025;Energia y gas tostadero;343648;
06/2025;Flete distribucion;1823943;"reparto a cafeterias y distribuidor; no se cobra al cliente"
06/2025;Packaging mayorista;781690;bolsa valvulada 1kg + caja
06/2025;Comision plataforma ecommerce;415729;7% sobre venta online
06/2025;Alquiler y expensas local;780463;
06/2025;Sueldos produccion;1449432;2 personas
06/2025;Sueldos administracion;702417;
06/2025;Energia y gas tostadero;351209;
