fecha;comprobante;tipo_comprobante;codigo_cliente;razon_social;codigo_producto;cantidad;precio_unitario;bonificacion_pct;importe;vendedor
05/01/2025;FAC 0003-00040174;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;2;5600.0;0;11200.0;
14/03/2025;FAC 0003-00040914;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;1;9922.6;0;9922.6;
10/04/2025;FAC 0003-00041573;FAC;C9001;CONSUMIDOR FINAL;CAF-ETIOP-250;2;10140.9;0;20281.79;
08/01/2025;FAC 0003-00040172;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;2;5600.0;0;11200.0;
22/04/2025;FAC 0003-00041384;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;1;5657.55;0;5657.55;
06/02/2025;FAC 0003-00040462;FAC;C0131;Tostado Coghlan II;CAF-BLEND-1K;9;18396.0;35;107616.6;M. Paz
24/06/2025;FAC 0003-00042139;FAC;C0138;El Almacen de Constitucion;CAF-BLEND-1K;5;20069.06;30;70241.7;R. Ibarra
26/01/2025;FAC 0003-00040166;FAC;C9002;VENTA ONLINE;CAF-CAPS-10;2;6900.0;0;13800.0;
22/03/2025;FAC 0003-00040970;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;3;8564.77;0;25694.31;
21/01/2025;FAC 0003-00040085;FAC;C9002;VENTA ONLINE;CAF-CAPS-10;1;6900.0;0;6900.0;
01/05/2025;FAC 0003-00041669;FAC;C0113;Bar Recoleta II;CAF-BRAS-1K;4;18546.1;30;51929.07;M. Paz
20/05/2025;FAC 0003-00041904;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;10363.99;0;20727.99;
11/01/2025;FAC 0003-00040046;FAC;C0133;El Almacen de Barracas II;CAF-BRAS-1K;2;17000.0;35;22100.0;
06/04/2025;FAC 0003-00041371;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;2;8753.19;0;17506.39;
04/05/2025;FAC 0003-00041678;FAC;C0122;El Almacen de Almagro;CAF-BRAS-1K;4;18546.1;32;50445.38;R. Ibarra
25/06/2025;FAC 0003-00042303;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;1;9142.57;0;9142.57;
04/06/2025;FAC 0003-00042311;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;3;5909.22;0;17727.67;
14/04/2025;FAC 0003-00041416;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;1;10140.9;0;10140.9;
04/05/2025;FAC 0003-00041938;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;1;6109.3;0;6109.3;
07/02/2025;FAC 0003-00040453;FAC;C0125;Usina Flores II;CAF-BRAS-1K;7;17374.0;32;82700.24;M. Paz
12/05/2025;FAC 0003-00041977;FAC;C9001;CONSUMIDOR FINAL;CAF-COLOM-250;1;8945.76;0;8945.76;
03/02/2025;FAC 0003-00040430;FAC;C0106;El Almacen de Nunez;CAF-BRAS-1K;4;17374.0;30;48647.2;
22/06/2025;FAC 0003-00042098;FAC;C0107;La Ventanita de Nunez II;CAF-BRAS-1K;6;18954.11;35;73921.03;R. Ibarra
07/05/2025;FAC 0003-00041685;FAC;C0129;Bar San Telmo II;CAF-BRAS-1K;2;18546.1;32;25222.69;M. Paz
17/05/2025;FAC 0003-00041944;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;2;6109.3;0;12218.6;
23/06/2025;FAC 0003-00042316;FAC;C9002;VENTA ONLINE;CAF-CAPS-10;3;7693.14;0;23079.42;
05/04/2025;FAC 0003-00041247;FAC;C0101;El Almacen de Palermo II;CAF-BRAS-1K;7;18146.87;35;82568.24;
01/05/2025;FAC 0003-00041738;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;2;6109.3;0;12218.6;
10/05/2025;FAC 0003-00042027;FAC;C9001;CONSUMIDOR FINAL;CAF-ETIOP-250;2;10363.99;0;20727.99;
