codigo_producto,producto,rubro,unidades,ventas_netas,costo_total,margen_bruto,margen_bruto_pct,precio_venta_promedio,costo_unitario_promedio,participacion_ventas_pct,notas_credito,importe_notas_credito,alerta_margen,accion_sugerida
CAF-BLEND-CJ6,Blend Casa CAJA X 6 (1kg c/u),CAFE,203.00,13117711.00,12603331.00,514380.00,0.0392,64619.27,62085.37,0.1089,0,0.00,HIGH,Frenar promociones y revisar precio/costo antes de vender mas volumen.
CAF-BRAS-1K,Brasil Cerrado 1 kg,CAFE,1230.00,14148332.25,12064723.00,2083609.25,0.1473,11502.71,9808.72,0.1174,31,-1123984.16,MEDIUM,Monitorear precio y descuento; no empujarlo sin revisar margen.
CAF-BLEND-1K,Blend Casa 1 kg,CAFE,4127.00,51061316.15,42674672.00,8386644.15,0.1642,12372.50,10340.36,0.4237,13,-1252938.40,MEDIUM,Monitorear precio y descuento; no empujarlo sin revisar margen.
CAP-FILTRO-100,Filtros de papel x 100,ACCESORIOS,644.00,1781015.44,1291292.00,489723.44,0.2750,2765.55,2005.11,0.0148,0,0.00,,
CAF-CAPS-10,Capsulas compatibles x10,CAFE,328.00,2390223.53,1143169.00,1247054.53,0.5217,7287.27,3485.27,0.0198,0,0.00,,
CAF-DESCA-250,Descafeinado 250 g,CAFE,363.00,2830347.80,1338655.00,1491692.80,0.5270,7797.10,3687.75,0.0235,0,0.00,,
CAP-TAZA,Taza ceramica logo,ACCESORIOS,231.00,2172525.67,1025226.00,1147299.67,0.5281,9404.87,4438.21,0.0180,0,0.00,,
CAF-BRAS-250,Brasil Cerrado 250 g,CAFE,515.00,2890008.52,1324980.00,1565028.52,0.5415,5611.67,2572.78,0.0240,0,0.00,,
CAF-ETIOP-250,Etiopia Yirgacheffe 250 g,CAFE,1490.00,14091080.78,6446603.00,7644477.78,0.5425,9457.10,4326.58,0.1169,0,0.00,,
CAF-BLEND-250,Blend Casa 250 g,CAFE,1096.00,6475331.58,2960155.00,3515176.58,0.5429,5908.15,2700.87,0.0537,0,0.00,,
CAF-COLOM-250,Colombia Huila 250 g,CAFE,1098.00,9542700.77,4189409.00,5353291.77,0.5610,8690.98,3815.49,0.0792,0,0.00,,
